ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
                                                                                      
1       1        A-5343-50005-1    e prom assy U6 revL5                              1
2       .2       5343-12881-00     e prom 27c040 4meg 120nsec                        1
3       .2       16-9419-1         label-rev L5-U6 rom1-50005                        1
4       ..3      RM-33-01          label 1-1/8x7/16-white                            1
5       1        A-8552-50005      back glass assy                                   1
6       .2       03-8228-2         channel glass top                                 1
7       .2       03-8228-3         channel glass edge                                2
8       .2       03-8229-1         channel glass lift                                1
9       .2       08-7456           glass 27 X 18-7/8                                 1
10      .2       31-1357-50005     scrnd translite b/glass                           1
11      1        A-15579-1         cash box assy-50005                               1
12      .2       A-14354           c/box cover assy                                  1
13      ..3      01-10020          cover-domestic cashbox                            1
14      ..3      01-9989           cashbox handle                                    1
15      ..3      4008-01041-06     ms 8-32X3/8 p-flh                                 2
16      ..3      4700-00023-00     fw .203X.625X.059                                 2
17      ..3      4408-01119-01     nut 8-32 esna/ntm                                 2
18      .2       03-7626           cashbox-pin                                       1
19      ..3      03-7626.1         cashbox-pin                                       1
20      .2       03-7557           kicker protector mylar                            2
21      .2       03-8194           flipper gauge                                     2
22      .2       08-7377           "leveler-leg adjuster 3.0"""                      4
23      .2       20-6500           ball-steel 1-1/16                                 3
24      .2       20-6502-A         plumb bob                                         1
25      .2       20-8842           envelope 3 x 5-1/2                                4
26      .2       20-9292           envelope kraft 7-1/2 x 10-1/2                     1
27      .2       20-9791           envelope backbox screws                           1
28      .2       20-9620           key T-20 TR-TX long arm                           1
29      .2       20-9384           torx driver bit 440-TX20H                         1
30      .2       20-9384-2         torx driver bit 440-TX25H                         1
31      .2       24-6549           bulb-#44                                          2
32      .2       24-8704           bulb #89                                          2
33      .2       24-8767           socket-pcb twist                                  1
34      .2       24-8768           bulb #555 6.3Volts .25Amps                        5
35      .2       24-8802           bulb #906 13V 0.69                                1
36      .2       27-1041-11        lbl-25cent-usa                                    2
37      .2       31-1676-2         plfd plastic-fishtales                            1
38      .2       31-1676-22        plfd plastic-fishtales                            1
39      .2       31-1676-24        plfd plastic-fishtales                            1
40      .2       20-9718           wing screw 3/8-16 x 2                             2
41      .2       4322-01125-40     blt 3/8-16x2 1 /2 ah                              8
42      .2       4406-01120-00     nut 6-32 wing                                     2
43      .2       4422-01117-00     nut 3/8-16 hex                                    4
44      .2       5730-09071-00     fuse 8A 32V                                       1
45      .2       5730-09252-00     fuse 8A 250V                                      1
46      .2       5730-09797-00     fuse 3/4A 250V                                    1
47      .2       5731-10356-00     fuse sb 3A 250V                                   1
48      .2       5731-09128-00     fuse sb 2.5 250V                                  1
49      .2       5731-09651-00     fuse sb 5A 250V                                   1
50      .2       5731-12328-00     fuse sb 3/8A 250V                                 1
51      .2       5731-09432-00     fuse sb 7A 250V                                   1
52      .2       20-9780           envelope 3 1/8 x 5 1/2-printed                    1
53      .2       4008-01093-16B    tr 8-32X1 ph                                      4
54      1        A-15306           fish panel assy                                   1
55      .2       A-11734           bulb & socket assy                                1
56      .2       A-12887           socket & #555 bulb assy                           1
57      .2       A-12336-1         socket & #906 bulb assy                           1
58      .2       A-15304           coil unit assy                                    1
59      ..3      A-15305           coil brkt sub-assy                                1
60      ...4     01-10620          brkt coil leg mtg                                 1
61      ..3      A-6306-2          bell armature assy                                1
62      ..3      10-135            spring-plunger                                    1
63      ..3      03-7067-5         tubing-coil                                       1
64      ..3      23-6420           grommet                                           1
65      ..3      01-8-508-T        brkt coil retainer                                1
66      ..3      4008-01017-04     ms 8-32X1/4 p-rh-s                                2
67      ..3      AE-23-800         coil assy                                         1
68      ...4     MW-130-23         magnet wire-130deg c sns 23ga                     0
69      ...4     16-8943-1         coil tape-1 3/8 wide                              0
70      ...4     A-22181           small bobbin assy                                 0
71      ....5    03-7041-1         bobbin                                            0
72      ....5    01-14673          terminal coil                                     0
73      ....5    07-6688-17        rivet 5/32X1/8                                    0
74      .2       A-15713           fish assy                                         1
75      .2       4106-01114-08     tcs #6X1/2 pl-hwh t-17                            7
76      .2       A-15585           fish protect plate                                1
77      .2       11-1059           panel-wood top                                    1
78      .2       01-10618          brkt fish panel mtg                               2
79      .2       31-1692           translite fish panel                              1
80      .2       4408-01119-00     nut 8-32 esn                                      1
81      .2       4008-01003-20     ms 8-32X1-1/4 p-ph-s                              4
82      .2       4700-00070-00     fw .187X.625X.059                                 9
83      .2       4408-01128-00     nut 8-32 keps                                     4
84      .2       4008-01003-08     ms 8-32 X 1/2 p-ph-s                              6
85      .2       4408-01118-02     nut 8-32 tee 9/32l                                6
86      .2       31-1682-5         decal-playfield                                   1
87      .2       H-15497           fish backbox cable                                1
88      ..3      H-15497-C         fish backbox cable-cut wire                       1
89      ...4     CW-30022-3        wire 22awg orange                                31
90      ...4     CW-30022-93       wire 22awg wht/org                               31
91      ...4     CW-30022-78       wire 22awg vio/gry                               18
92      ...4     CW-30022-61       wire 22awg blu/brn                               24
93      ...4     HW-30018-74       wire 18awg vio/yel                               18
94      ...4     HW-30018-29       wire 18awg red/wht                               24
95      ..3      5791-10772-00     2P11625 03-06-2023                                1
96      ..3      5791-09400-00     4P1490 03-09-2042                                 1
97      ..3      5820-09080-00     terminal-pm1190 02-09-2101                        2
98      ..3      5820-09078-00     pm1560 02-06-2101                                 4
99      ..3      5820-13237-00     male term pin .093 18-22                          2
100     ..3      03-7520-2         tie wrap-nylon 3 7/8                             14
101     .2       03-7655-8         "clamp cable 1/2""dia"                            4
102     .2       CW-30022-4        wire 22awg yellow                                10
103     1        A-15632           fish panel cover assy                             1
104     .2       03-8653           cover-fish panel                                  1
105     .2       31-1682-6         decal-playfield                                   1
106     .2       20-9768-1         large reflector                                   1
107     1        A-15565           5 lamp pcb assy                                   1
108     .2       5768-13228-00     PCB-5 lamp                                        1
109     .2       24-8805           socket-pcb H wedge                                5
110     .2       24-8768           bulb #555 6.3Volts .25Amps                        5
111     1        A-15740           plate & decal assy                                1
112     .2       01-10817          plate-back box cover                              1
113     .2       31-1706           decal-cover plate-50005                           1
114     1        03-8022-4         "spacer .250 L"""                                 4
115     1        C-10843           chrome metal leg assy                             4
116     1        D-12615           front molding assy-stainless                      1
117     1        RM-27-09          "slit hose sleeve 1""-gray"                      30
118     1        01-9012           plate-backing                                     2
119     1        01-10714          cover-line cord                                   1
120     1        03-7933           "tie wrap-8 1/2"""                                2
121     1        03-7520-2         tie wrap-nylon 3 7/8                              3
122     1        08-7028-T         glass-playfield                                   1
123     1        08-7473           carton-outer williams & bally                     1
124     1        08-7477           carton-rail side                                  2
125     1        08-7649           carton-backbox wrapper                            1
126     1        08-7650           carton-front panel                                1
127     1        08-7666           carton-rear panel                                 1
128     1        08-7678           "carton-cashbox 12 15/16"" long"                  1
129     1        08-7648           carton-leg                                        1
130     1        11-536            wood block shipping                               1
131     1        16-50005-2        card-instruction                                  1
132     1        16-50005-101      manual-instruction                                1
133     1        16-50005-102      manual-schematic instruction                      1
134     1        16-50005-103      manual-operators handbook                         1
135     1        16-50005-AMD-4    amendment-coinage                                 1
136     1        16-50005-AMD-2    amendment-schematic                               1
137     1        16-50005-AMD-3    amendment-reel                                    1
138     1        16-8978           label-install 3 balls                             1
139     1        16-8587-143       label-shipping block                              1
140     1        16-8587-880       label-check cables                                1
141     1        16-8587-888-1     label-game serial number                          1
142     1        16-8903           card-game registration                            1
143     1        16-9350-1         sheet-reel installation                           1
144     1        16-9045           card-flipper gauge                                1
145     1        16-9340           sheet-instruction-c/box locate                    1
146     1        16-9356           sheet-slide assy caution                          1
147     1        16-9388           sheet-iec320 line filter                          1
148     1        16-9387           pricing card 50 cent                              1
149     1        16-9405           pricing card insert-usa                           1
150     1        16-9319           label-caution e.o.s. switch                       1
151     1        16-9090-1         instr-plfd mylar                                  1
152     1        16-9093           form * journal                                    1
153     1        16-9243           card-sheet-wpc/diamond plate                      1
154     1        16-9357-1         sheet-remove foam                                 1
155     1        20-9768-2         small reflector                                   1
156     1        20-8842           envelope 3 x 5-1/2                                1
157     1        20-9295           envelope williams 10 x 13-1/2                     1
158     1        23-6534           "rubber protector  20""in"                        1
159     1        23-6534-3         rubber protector 1 1/2                            2
160     1        23-6628           foam rubber-insert                                1
161     1        23-6633-3         "foam-rubber insert 10"""                         1
162     1        23-6519-4         flipper ring-red                                  2
163     1        4008-01003-16     ms 8-32X1 p-ph-s                                  4
164     1        4106-01115-16     sms #6X1 pl-hwh-a                                 4
165     1        4108-01019-10     sms #8X5/8 p-rh-a                                 2
166     1        4320-01123-24B    blt 1/4-20X1 1/2 cb                               6
167     1        4420-01141-00     nut 1/4-20 flangrip                               6
168     1        4008-01003-20     ms 8-32X1-1/4 p-ph-s                              2
169     1        4408-01119-00     nut 8-32 esn                                      2
170     1        4700-00070-00     fw .187X.625X.059                                 2
171     1        4700-00060-00     fw .219X.500X.063                                 4
172     1        4108-01092-10B    txt #8 X 5/8 ph                                  16
173     1        4108-01219-11     sms #8 x 11/16 pin-hd-ab spcl                     3
174     1        4310-01123-24B    blt 10-24X1 1/2 cb                                4
175     1        4410-01119-00     nut 10-24 esn                                     4
176     1        50005-PL          fishtales playfield assy                          1
177     .2       A-10417           micro sw assy comp                                1
178     ..3      A-10415           switch & term strip assy                          1
179     ...4     A-7438-1          terminal strp assy                                1
180     ...4     01-7151           brkt guide                                        1
181     ...4     4004-01003-10     ms 4-40X5/8 p-ph-s                                2
182     ...4     5647-12133-12     switch mini micro                                 1
183     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
184     .2       A-11271           socket & #44 bulb assy                            1
185     ..3      A-11271-1         skt & bulb sub-assy                               1
186     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
187     .2       A-11754           socket & #44 bulb assy                            3
188     ..3      A-11755           socket & #44 bulb assy                            3
189     ..3      5070-09054-00     diode-1N4004 1.0a                                 3
190     .2       A-11657-2         b/popper sw assy                                  1
191     ..3      A-11658-1         sw & diode assy                                   1
192     ...4     SW-1A-167-1       switch                                            1
193     ....5    A-11659           blade & contct assy                               1
194     .....6   06-82-8           blade-contact                                     1
195     .....6   5860-09374-00     cp prec met 7309fs                                1
196     ....5    A-8380            blade & contact assy                              1
197     .....6   06-7J-14          blade-contact                                     1
198     .....6   5860-09374-00     cp prec met 7309fs                                1
199     ....5    01-916-H          "spacer- 3/32"""                                  3
200     ....5    01-916-S          "spacer-tight 1/16"""                             2
201     ....5    03-7007-7         "tubing switch-7/16"""                            2
202     ....5    06-17             blade-side lug                                    1
203     ...4     5070-09054-00     diode-1N4004 1.0a                                 1
204     ..3      01-3670-1         plate-switch flat                                 1
205     ..3      4205-01016-14     ws #5X7/8 p-rh                                    2
206     .2       A-11680           sub-mini switch assy                              1
207     ..3      01-8652           brkt mtg                                          1
208     ..3      4002-01105-06     ms 2-56x3/8 p-ph-s                                2
209     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
210     ..3      5647-12693-08     switch sub mini micro                             1
211     .2       A-11905           socket & #44 bulb assy                           27
212     .2       A-12010           spinnner micro switch assy                        1
213     ..3      A-7438-1          terminal strp assy                                1
214     ..3      01-7151           brkt guide                                        1
215     ..3      4004-01003-10     ms 4-40X5/8 p-ph-s                                2
216     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
217     ..3      5647-12133-08     switch mini micro                                 1
218     .2       A-12687           sub-mini switch assy                              1
219     ..3      01-12356          brkt-switch mtg                                   1
220     ..3      4002-01105-06     ms 2-56x3/8 p-ph-s                                2
221     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
222     ..3      5647-12693-18     switch sub mini micro                             1
223     .2       A-12688           rollover micro switch assy                        8
224     ..3      01-8719           brkt switch mtg                                   8
225     ..3      4002-01105-06     ms 2-56x3/8 p-ph-s                               16
226     ..3      5070-09054-00     diode-1N4004 1.0a                                 8
227     ..3      5647-12693-19     switch sub mini micro                             8
228     .2       A-12688-1         rollover micro switch assy                        1
229     ..3      01-8719-1         brkt switch mtg                                   1
230     ..3      4002-01105-06     ms 2-56x3/8 p-ph-s                                2
231     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
232     ..3      5647-12693-19     switch sub mini micro                             1
233     .2       A-13204-50005     bottom arch assy-fishtales                        1
234     ..3      A-15633           shooter plate assy                                1
235     ...4     01-10136-1        plate-shooter cover                               1
236     ...4     31-1694-1         decal-shoot plate cover                           1
237     ..3      12-6842           fence-bottom arch                                 1
238     ..3      16-9210           label-caution hi-vlt(btm arch)                    1
239     ..3      20-9041           speednut tinnerman                                2
240     ..3      20-9045           cover-instruction card-clear                      2
241     ..3      20-9601           nut retainer #8-32                                4
242     ..3      23-6313-1         grommet                                           1
243     ..3      4008-01017-10     ms 8-32X5/8 p-rh-s                                4
244     ..3      4700-00011-00     fw .172X.437X.059                                 4
245     ..3      31-1008-50005     scrnd bottom arch-fishtales                       1
246     ..3      4106-01004-06     sms #6X3/8 p-ph-st                                2
247     .2       A-12336-1         socket & #906 bulb assy                           2
248     .2       A-14369-R         coil & brkt assy                                  1
249     ..3      AE-27-1200        coil assy                                         1
250     ...4     A-22181           small bobbin assy                                 0
251     ....5    03-7041-1         bobbin                                            0
252     ....5    01-14673          terminal coil                                     0
253     ....5    07-6688-17        rivet 5/32X1/8                                    0
254     ...4     MW-130-27         magnet wire-130deg c sns 27ga                     0
255     ...4     16-8943-11        coil tape-1 3/8 wide                              0
256     ..3      B-7572-1          brkt & stop assy                                  1
257     ..3      01-8-508-S        brkt coil retainer                                1
258     ..3      03-7066           tubing-coil                                       1
259     ..3      4006-01017-06     ms 6-32X3/8 p-rh-s                                2
260     ..3      4406-01119-00     nut 6-32 esn                                      2
261     .2       A-14422           ball gate actuator assy                           1
262     ..3      A-11146           b/g armature assy                                 1
263     ...4     A-15821           armature sub assy                                 1
264     ...4     01-8391           armature tip                                      1
265     ...4     4006-01003-03     ms 6-32X3/16 p-ph-s                               2
266     ..3      A-14406           coil assy                                         1
267     ..3      A-6892            frame & eyelet assy                               1
268     ..3      01-8111           brkt ball gate                                    1
269     ..3      10-120            spring-armature                                   1
270     ..3      10-194            spring-extension                                  1
271     ..3      4008-01021-07     ms 8-32X7/16 p-rh-brass                           1
272     ..3      4700-00089-00     fw .172X.437X.062 brass                           1
273     ..3      4701-00003-00     lw #8 split                                       1
274     .2       A-14525           kicker brkt assy                                  1
275     ..3      A-14526           kicker mtg brkt weld assy                         1
276     ..3      A-6306-2          bell armature assy                                1
277     ..3      01-8-508-T        brkt coil retainer                                1
278     ..3      10-135            spring-plunger                                    1
279     ..3      23-6420           grommet                                           1
280     ..3      AE-23-800         coil assy                                         1
281     ...4     MW-130-23         magnet wire-130deg c sns 23ga                     0
282     ...4     16-8943-1         coil tape-1 3/8 wide                              0
283     ...4     A-22181           small bobbin assy                                 0
284     ....5    03-7041-1         bobbin                                            0
285     ....5    01-14673          terminal coil                                     0
286     ....5    07-6688-17        rivet 5/32X1/8                                    0
287     ..3      03-7067-5         tubing-coil                                       1
288     ..3      4008-01017-04     ms 8-32X1/4 p-rh-s                                2
289     ..3      03-8523           insulator                                         1
290     .2       A-14632-2         "mtg bracket clamp assy-1/2"""                    5
